Hour;T2
4318;28,53526776
4319;28,53526776
4320;28,53526776
4321;19,51573165
4322;19,51573165
4323;19,51573165
4324;19,51573165
4325;19,51573165
4326;19,51573165
4327;19,51573165
4328;83,13701684
4329;93,52914395
4330;103,9212711
4331;103,9212711
4332;124,7055253
4333;124,7055253
4334;83,13701684
4335;124,7055253
4336;124,7055253
4337;72,74488974
4338;20,78425421
4339;20,49151824
4340;20,49151824
4341;20,49151824
4342;20,49151824
4343;20,49151824
4344;20,49151824
4345;13,3548957
4346;20,35031726
4347;20,35031726
4348;20,35031726
4349;20,35031726
4350;20,35031726
4351;20,35031726
4352;85,78930622
4353;95,72280483
4354;105,6563034
4355;105,6563034
4356;126,426346
4357;126,426346
4358;83,98321556
4359;126,426346
4360;126,426346
4361;74,50123961
4362;31,79737073
4363;20,98626468
4364;20,98626468
4365;20,98626468
4366;20,98626468
4367;20,98626468
4368;20,98626468
4369;20,66332591
4370;20,66332591
4371;20,66332591
4372;20,66332591
4373;20,66332591
4374;20,66332591
4375;20,66332591
4376;84,46917166
4377;94,24981259
4378;104,0304535
4379;104,0304535
4380;124,4808845
4381;124,4808845
4382;82,69087331
4383;124,4808845
4384;124,4808845
4385;73,35480697
4386;31,30806955
4387;20,66332591
4388;20,66332591
4389;20,66332591
4390;20,66332591
4391;20,66332591
4392;20,66332591
4393;20,66332591
4394;20,66332591
4395;20,66332591
4396;20,66332591
4397;20,66332591
4398;20,66332591
4399;20,66332591
4400;84,46917166
4401;94,24981259
4402;104,0304535
4403;104,0304535
4404;124,4808845
4405;124,4808845
4406;82,69087331
4407;124,4808845
4408;124,4808845
4409;73,35480697
4410;31,30806955
4411;20,66332591
4412;20,66332591
4413;20,66332591
4414;20,66332591
4415;20,66332591
4416;20,66332591
4417;31,03851255
4418;18,81121973
4419;18,81121973
4420;18,81121973
4421;18,81121973
4422;18,81121973
4423;18,81121973
4424;80,13579604
4425;100,1697451
4426;110,1867196
4427;110,1867196
4428;130,2206686
4429;130,2206686
4430;90,15277055
4431;130,2206686
4432;100,1697451
4433;47,02804932
4434;31,03851255
4435;19,75178072
4436;18,81121973
4437;18,81121973
4438;18,81121973
4439;18,81121973
4440;18,81121973
4441;31,53196055
4442;28,37876449
4443;28,37876449
4444;28,37876449
4445;28,37876449
4446;28,37876449
4447;28,37876449
4448;28,37876449
4449;28,37876449
4450;28,37876449
4451;28,37876449
4452;28,37876449
4453;28,37876449
4454;28,37876449
4455;28,37876449
4456;28,37876449
4457;28,37876449
4458;28,37876449
4459;28,37876449
4460;28,37876449
4461;28,37876449
4462;28,37876449
4463;28,37876449
4464;28,37876449
4465;28,53526776
4466;28,53526776
4467;28,53526776
4468;28,53526776
4469;28,53526776
4470;28,53526776
4471;28,53526776
4472;28,53526776
4473;28,53526776
4474;28,53526776
4475;28,53526776
4476;28,53526776
4477;28,53526776
4478;28,53526776
4479;28,53526776
4480;28,53526776
4481;28,53526776
4482;28,53526776
4483;28,53526776
4484;28,53526776
4485;28,53526776
4486;28,53526776
4487;28,53526776
4488;28,53526776
4489;19,70318314
4490;19,70318314
4491;19,70318314
4492;19,70318314
4493;19,70318314
4494;19,70318314
4495;19,70318314
4496;83,93556017
4497;94,42750519
4498;104,9194502
4499;104,9194502
4500;125,9033403
4501;125,9033403
4502;83,93556017
4503;125,9033403
4504;125,9033403
4505;73,44361515
4506;20,98389004
4507;20,6883423
4508;20,6883423
4509;20,6883423
4510;20,6883423
4511;20,6883423
4512;20,6883423
4513;13,09371716
4514;19,95233091
4515;19,95233091
4516;19,95233091
4517;19,95233091
4518;19,95233091
4519;19,95233091
4520;84,11154498
4521;93,85077651
4522;103,590008
4523;103,590008
4524;123,9538558
4525;123,9538558
4526;82,34077562
4527;123,9538558
4528;123,9538558
4529;73,04423643
4530;31,17551704
4531;20,57584125
4532;20,57584125
4533;20,57584125
4534;20,57584125
4535;20,57584125
4536;20,57584125
4537;20,01216901
4538;20,01216901
4539;20,01216901
4540;20,01216901
4541;20,01216901
4542;20,01216901
4543;20,01216901
4544;81,80732119
4545;91,27974786
4546;100,7521745
4547;100,7521745
4548;120,5581575
4549;120,5581575
4550;80,0850618
4551;120,5581575
4552;120,5581575
4553;71,04319998
4554;30,3214682
4555;20,01216901
4556;20,01216901
4557;20,01216901
4558;20,01216901
4559;20,01216901
4560;20,01216901
4561;19,68659056
4562;19,68659056
4563;19,68659056
4564;19,68659056
4565;19,68659056
4566;19,68659056
4567;19,68659056
4568;80,47639596
4569;89,79471549
4570;99,11303503
4571;99,11303503
4572;118,596794
4573;118,596794
4574;78,78215605
4575;118,596794
4576;118,596794
4577;69,88739649
4578;29,82816752
4579;19,68659056
4580;19,68659056
4581;19,68659056
4582;19,68659056
4583;19,68659056
4584;19,68659056
4585;30,19245789
4586;18,29845933
4587;18,29845933
4588;18,29845933
4589;18,29845933
4590;18,29845933
4591;18,29845933
4592;77,95143674
4593;97,43929593
4594;107,1832255
4595;107,1832255
4596;126,6710847
4597;126,6710847
4598;87,69536634
4599;126,6710847
4600;97,43929593
4601;45,74614832
4602;30,19245789
4603;19,2133823
4604;18,29845933
4605;18,29845933
4606;18,29845933
4607;18,29845933
4608;18,29845933
4609;31,46005265
4610;28,31404738
4611;28,31404738
4612;28,31404738
4613;28,31404738
4614;28,31404738
4615;28,31404738
4616;28,31404738
4617;28,31404738
4618;28,31404738
4619;28,31404738
4620;28,31404738
4621;28,31404738
4622;28,31404738
4623;28,31404738
4624;28,31404738
4625;28,31404738
4626;28,31404738
4627;28,31404738
4628;28,31404738
4629;28,31404738
4630;28,31404738
4631;28,31404738
4632;28,31404738
4633;28,49241583
4634;28,49241583
4635;28,49241583
4636;28,49241583
4637;28,49241583
4638;28,49241583
4639;28,49241583
4640;28,49241583
4641;28,49241583
4642;28,49241583
4643;28,49241583
4644;28,49241583
4645;28,49241583
4646;28,49241583
4647;28,49241583
4648;28,49241583
4649;28,49241583
4650;28,49241583
4651;28,49241583
4652;28,49241583
4653;28,49241583
4654;28,49241583
4655;28,49241583
4656;28,49241583
4657;19,32828017
4658;19,32828017
4659;19,32828017
4660;19,32828017
4661;19,32828017
4662;19,32828017
4663;19,32828017
4664;82,33847351
4665;92,6307827
4666;102,9230919
4667;102,9230919
4668;123,5077103
4669;123,5077103
